item_id,item_type,a,b,item_name
0,likert,[0.55211693 0.5214857 ],[ 0.47368005 -0.6333386   0.84321207  0.72020525],R1
1,likert,[0.5578285  0.57642674],[0.79328465 0.02919091 0.75140876 1.2936496 ],R2
2,likert,[0.50499207 0.50842166],[1.2343743  0.4787096  0.79955554 1.0101889 ],R3
3,likert,[0.57346725 0.5733822 ],[0.5556694  0.16646822 0.46878457 0.8722353 ],R4
4,likert,[0.68665457 0.6664797 ],[0.9889952 0.6770388 1.1384919 1.1615794],R5
5,likert,[0.6436913 0.6688625],[0.616605   0.10411409 0.6826145  1.2398188 ],R6
6,likert,[0.7853584  0.75590277],[0.59758747 0.39261168 1.0927105  1.255311  ],R7
7,likert,[0.65955925 0.6673904 ],[0.77991176 0.38975033 0.89023304 1.2549636 ],R8
8,likert,[0.2417166  0.28887382],[-0.09371604 -0.64258486 -0.21486472  0.06523833],I1
9,likert,[0.28494364 0.35048896],[ 0.04241821 -0.56325585 -0.32749102  0.2669626 ],I2
10,likert,[0.31177726 0.38128322],[ 0.15546821 -0.38460267 -0.20160179  0.3910965 ],I3
11,likert,[0.34344998 0.3818772 ],[ 0.15643322 -0.3541727  -0.01311148  0.35918662],I4
12,likert,[0.3259749 0.3838732],[ 0.31235594 -0.3035486   0.00057308  0.5430153 ],I5
13,likert,[0.34321985 0.41754365],[ 0.23810335 -0.37984756 -0.06924827  0.44509962],I6
14,likert,[0.3376003 0.3875379],[ 0.3187964  -0.24421555  0.11911465  0.5674863 ],I7
15,likert,[0.42960414 0.5040973 ],[ 0.55639297 -0.07965286  0.19489136  0.75636005],I8
16,likert,[0.35323322 0.42594832],[ 0.5274238  -0.03277931  0.38711575  0.5715004 ],A1
17,likert,[0.36619303 0.43449765],[ 0.3512143  -0.19601832  0.05964024  0.4510097 ],A2
18,likert,[0.29703122 0.35691744],[ 0.22128631 -0.27663302 -0.08530237  0.29765064],A3
19,likert,[0.27574444 0.35495648],[ 0.34732533 -0.28749925  0.02369165  0.18257502],A4
20,likert,[0.23155378 0.30647784],[ 0.4521314  -0.2755908  -0.18410178  0.01984408],A5
21,likert,[0.3154128  0.39616984],[ 0.37240833 -0.52612567 -0.17327261  0.03105636],A6
22,likert,[0.35226092 0.38935798],[ 0.5342738  -0.09259745  0.08661269  0.35935462],A7
23,likert,[0.43423626 0.50661314],[ 0.339184   -0.23376755 -0.0009681   0.5625661 ],A8
24,likert,[0.3734195 0.3710153],[-0.29165035 -0.67294806 -0.17572126  0.18674299],S1
25,likert,[0.33705524 0.3469588 ],[-0.21065482 -0.9707641  -0.32628196  0.10769297],S2
26,likert,[0.29297492 0.29407263],[-0.0477908  -0.46672344 -0.15950805  0.22852908],S3
27,likert,[0.45392317 0.4676327 ],[-0.10234491 -0.45957032  0.02083702  0.5043432 ],S4
28,likert,[0.31155488 0.30156454],[-0.14151825 -0.58543736 -0.41759053  0.02083069],S5
29,likert,[0.41384652 0.40495482],[ 0.10273323 -0.40070757 -0.0847434   0.38016015],S6
30,likert,[0.4163656 0.4192831],[-0.04329107 -0.54084516 -0.14673382  0.30106452],S7
31,likert,[0.4415264  0.42198083],[-0.01063069 -0.33430326  0.23699838  0.5219019 ],S8
32,likert,[0.56167865 0.5086865 ],[0.41751465 0.14745083 0.89336026 1.0148243 ],E1
33,likert,[0.5549484  0.50083715],[ 0.14443824 -0.01647816  0.8009085   1.1141266 ],E2
34,likert,[0.7136278  0.65942633],[-0.14754726 -0.2812175   0.31053153  1.0274141 ],E3
35,likert,[0.46243283 0.44690585],[0.320735   0.09853692 0.5513805  0.7221812 ],E4
36,likert,[0.59921104 0.553007  ],[-0.04550512 -0.4809207   0.099965    0.6340015 ],E5
37,likert,[0.6089657  0.55689174],[ 0.04908943 -0.15424946  0.48845032  0.773557  ],E6
38,likert,[0.4969424  0.44684485],[ 0.3117439  -0.07304908  0.46297666  0.8756338 ],E7
39,likert,[0.7433586  0.73278767],[ 0.09656988 -0.21751127  0.46662384  0.89962846],E8
40,likert,[0.63530225 0.54838866],[ 0.42143616 -0.00189356  0.8077366   0.9846196 ],C1
41,likert,[0.74058443 0.67603505],[ 0.13436031 -0.00926425  0.8455776   1.204549  ],C2
42,likert,[0.7612666  0.68778974],[0.24326003 0.08616559 0.72969866 0.99494773],C3
43,likert,[0.7268955 0.6442546],[ 0.08460741 -0.10877533  0.7563312   1.1034482 ],C4
44,likert,[0.55450964 0.52525675],[ 0.41552308 -0.08679359  0.35169983  0.8146071 ],C5
45,likert,[0.65775144 0.6244045 ],[ 0.20922887 -0.4782206   0.7240405   0.8968438 ],C6
46,likert,[0.7363356 0.6446508],[0.40782535 0.24403636 0.881149   1.0736057 ],C7
47,likert,[0.8655474 0.7800726],[0.29952037 0.13489687 1.0603442  1.1329426 ],C8
48,likert,[0.08497763 0.0713307 ],[-0.3552479  -0.04811717  0.14230531 -0.8532297  -0.19931541  0.40270516],TIPI1
49,likert,[0.01741679 0.01677604],[ 0.04513796  0.20109093 -0.2795732  -0.56079906  0.6180472   0.83294356],TIPI2
50,likert,[0.0548806 0.0391769],[-0.38596177 -0.5176968  -0.30810386 -0.87845397 -0.53605795  0.02808308],TIPI3
51,likert,[-0.02729547 -0.02467788],[-0.11049766  0.25782526 -0.00944366 -0.74800783  0.50679237  0.2968135 ],TIPI4
52,likert,[0.12378984 0.14404212],[-0.4631931  -0.7344123  -0.7242448  -1.0333366  -0.46435106 -0.064513  ],TIPI5
53,likert,[-0.00180321  0.0075727 ],[ 0.04922411 -0.01942415 -0.05653709 -0.68028957  0.15363045  0.08878618],TIPI6
54,likert,[0.0732122  0.07006463],[-0.36826494 -0.56791335 -0.59212893 -0.86534435 -0.43549755 -0.02453323],TIPI7
55,likert,[0.00772406 0.02667372],[ 0.3880692   0.3697323   0.24303769 -0.51795465  0.8663436   0.61436075],TIPI8
56,likert,[0.06192523 0.05117833],[-0.48832756 -0.6926295  -0.1423668  -0.47507808 -0.3147695   0.391754  ],TIPI9
57,likert,[ 0.00795907 -0.02530179],[0.28152716 0.28760967 0.1923512  0.20721647 0.6360098  0.5461472 ],TIPI10
58,binary,[-0.04577394  0.06389362],-2.1286345,VCL1
59,binary,[-0.01933484  0.10750372],-1.1765872,VCL2
60,binary,[0.04459853 0.17455275],0.8853006,VCL3
61,binary,[-0.03139327  0.07446546],-2.1467474,VCL4
62,binary,[0.03023086 0.13304137],-1.6665477,VCL5
63,binary,[0.08809074 0.13463631],2.217474,VCL6
64,binary,[0.11497724 0.2084977 ],1.6664737,VCL7
65,binary,[0.076983   0.19557069],0.94349056,VCL8
66,binary,[0.16653094 0.18328261],2.4017105,VCL9
67,binary,[0.07871798 0.16420779],-2.209722,VCL10
68,binary,[0.09302934 0.20923038],1.8439428,VCL11
69,binary,[0.1205348  0.16474234],1.9213089,VCL12
70,binary,[-0.00636462  0.14487247],0.20864764,VCL13
71,binary,[-0.05365367  0.07446176],-0.88898,VCL14
72,binary,[-0.08862112  0.01410068],-1.9537166,VCL15
73,binary,[-0.02802429  0.01611984],-2.5652137,VCL16
